0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
190,235,12,5
189,232,21,8
186,230,27,10
185,226,34,14
185,224,37,16
188,222,37,18
195,220,34,20
199,217,35,21
204,215,33,19
209,214,33,17
214,212,33,17
218,211,35,16
223,210,34,16
228,208,33,17
232,207,33,19
236,206,33,20
240,206,32,20
243,205,33,21
246,205,33,22
249,205,32,22
251,206,32,21
252,206,33,21
254,207,32,19
255,207,33,19
256,207,33,19
257,207,32,19
257,208,33,17
257,208,33,17
257,208,33,16
257,208,33,16
256,208,33,15
255,207,34,16
255,206,33,18
254,205,32,18
253,205,32,19
251,204,33,20
250,203,33,21
249,203,32,21
247,203,32,21
245,202,33,22
244,202,33,22
242,202,33,22
240,203,33,20
239,203,32,20
237,203,33,20
235,204,33,18
233,204,33,18
231,205,33,16
229,204,33,17
226,203,33,18
224,202,33,18
223,200,31,21
219,199,32,22
217,197,31,23
215,194,30,26
214,192,27,27
213,190,26,28
212,188,24,28
211,186,22,28
210,183,21,29
209,181,20,29
209,178,18,29
209,176,16,29
208,174,16,28
207,171,17,28
206,168,19,28
205,166,20,28
205,163,21,26
204,160,22,27
204,157,22,27
204,155,23,26
206,152,21,26
207,149,20,27
208,147,19,26
209,144,18,26
210,141,17,26
210,138,16,25
210,135,16,25
208,132,18,25
207,129,19,25
205,127,20,24
203,125,21,24
201,122,21,24
198,120,22,24
196,119,23,23
193,117,25,24
190,116,26,22
185,113,27,21
182,111,27,20
179,109,27,20
176,107,27,20
174,105,25,20
171,103,25,20
169,101,24,20
167,97,23,21
165,95,22,20
163,92,21,21
162,89,20,21
162,87,17,20
162,84,15,20
162,81,13,20
161,78,14,20
160,75,15,21
160,73,16,20
160,71,16,20
161,69,16,20
161,67,17,19
163,65,17,19
163,63,19,19
164,61,20,19
166,60,20,18
167,59,22,17
169,57,23,16
171,56,24,15
173,56,25,13
175,56,26,12
178,55,25,11
180,55,25,11
182,54,25,12
